"isbn","title","isbn_10","isbn_13","quantity","full_title","date_inserted","date_updated","description","authors"
"9782505016915","Les pieds bandés",,,,"Les pieds bandés","2022-07-18 14:15:31.144935","2022-08-25 16:05:02.200608","Après Une vie chinoise (Prix de la bande Dessinée historique - Blois 2010, Prix Ouest-France Quai des bulles 2010), Li Kunwu revient avec un one-shot édifiant sur la coutume chinoise des pieds bandés.","Kunwu Li"
"9782871299110","Naruto - Tome 22",,,,,"2022-08-28 13:26:55.538452","2023-02-11 18:12:42.712906","Blessé dans son orgueil, Chôji triomphe de Jirôbô, mais s'effondre à l'issue du combat... Déterminés à tuer chacun un ennemi, Shikamaru, Naruto, Neji et Kiba se dressent face aux ninjas d'Oto ! Fort de son Byakugan, le descendant des Hyûga provoque Kidomaru, le combattant araignée ! Un duel à mort s'engage... ","Masashi Kishimoto"
"9782840890058","Contes du Joli Bois - Tome 6 : Les dragons attaquent !",,,,,"2022-08-28 14:59:48.278346","2023-02-11 18:43:29.365261",,"Tony Wolf"
"9782505085263","Asadora ! - Tome 3",,,,"Asadora ! - Tome 3","2022-08-13 20:51:37.580346","2022-08-28 16:24:03.316131","1964, les Jeux de Tokyo se préparent. Asa Asada a 17 ans, elle a obtenu sa licence de pilote d'avion et fondé avec le pilote vétéran Kasuga une petite entreprise de pilotage aérien. Elle s'occupe de son petit frère et de sa petite soeur avec l'aide de Kinuyo. Le mystérieux Colonel Jissôji, ex-instructeur de Kasuga avant la guerre, vient retrouver ce dernier pour lui proposer du travail, tandis qu'Asa tombe sur des photos mystérieuses dont elle veut absolument percer le secret ! Sa vie pourrait s'en trouver bouleversée !","Naoki Urasawa"
"9782811612610","Space Brothers",,,1,"Space Brothers","2022-07-11 21:09:58.499865","2022-08-25 16:44:24.496008","Depuis leur plus tendre enfance, Mutta et son petit frère Hibito sont des passionnés de l'espace. Pour eux, ça ne fait aucun doute, quand ils seront grands, ils iront sur la Lune ; non, sur Mars, même ! Vingt ans plus tard, Hibito s'apprête à s'envoler pour la Lune tandis que Mutta se retrouve au chômage après avoir gratifié d'un coup de boule son supérieur hiérarchique. Le voilà de retour dans la maison familiale, coincé entre ses deux parents ! Heureusement, son frère profite de la situation pour lui rappeler leur rêve d'enfant...","Chûya Koyama"
"9780735619678","Code Complete",,,,"Code Complete, 2nd Edition","2023-02-11 17:05:25.974396","2023-02-11 17:38:38.501563","This practical handbook of software construction is fully updated and revised with leading-edge practices and hundreds of new code samples, illustrating the art and science of constructing software.","Steve McConnell"
"9782505007715","Le sommet des dieux - Tome 4",,,,"Le sommet des dieux - Tome 4","2022-07-12 19:03:25.055821","2023-02-11 18:51:50.321534","À travers le regard et les souvenirs du héros-photographe Fukamachi Makoto, le lecteur pénètre dans un monde à part où cohabitent la dure loi de la montagne et la folle passion des hommes. Entre poésie, action et suspense, ce manga nous emmène très loin au coeur de l'Himalaya...","Jirô Taniguchi, Yumemakura Baku"
"9782290334829","Roméo et Juliette",,,,,"2022-08-28 15:19:58.868905","2022-08-28 15:19:58.868905","Leur amour est unique, comme la nuit qui les unit après les serments. "" Veux-tu donc partir ? demande Juliette à Roméo, le jour n'est pas proche encore : c'était le rossignol et non l'alouette dont la voix perçait ton oreille craintive... "" Hélas, c'était bien l'alouette, messagère de l'aube ! Il faut vivre et partir - ou mourir et rester. Cruel dilemme pour Roméo, qui a tué le cousin de Juliette. A peine les amoureux ont-ils touché le paradis qu'ils sont obligés de se séparer. Et s'il ne s'agissait que d'exil ! A Vérone, Capulet et Montague s'affrontent, ensanglantant la ville de leur vendetta. Juliette est Capulet ; Roméo, Montague. Il ne faudra que quatre jours à cet amour pour naître, se consommer, mourir... et se perpétuer. Existe-t-il mythe plus vivace que celui des amants de Vérone ?","William Shakespeare"
"9782013219075","La pierre prophétique",,,,,"2022-08-28 15:33:05.823124","2022-08-28 15:33:05.823124","Premier volume de la trilogie. A la fin du 12e siècle en Grande-Bretagne, le jeune Arthur de Caldicot rêve d'être chevalier. Grâce à une obsidienne prophétique offerte par un ami de son père, Merlin, Arthur apprend qu'il est la réincarnation du légendaire roi Arthur.","Kevin Crossley-Holland"
"9782070132508","La philosophie du porc et autres essais",,,,,"2022-08-28 15:41:09.466503","2022-08-28 15:41:09.466503","Liu Xiaobo n’a pas écrit de livre présentant l’essentiel de ses idées. Il s’est exprimé par des articles publiés soit dans la presse de Hong Kong, soit sur le net. Le présent recueil comporte une introduction retraçant sa biographie, puis une quinzaine d’articles répartis dans les cinq parties présentées ci-dessous. Une bibliographie et une chronologie le complètent pour en faire l’ouvrage de référence sur le plus important dissident chinois. Réflexions sur la littérature : dans « La crise », l’article qui l’a fait connaître en 1986, Liu Xiaobo dénonce la littérature de cicatrices, alors glorifiée par le régime. Cet article contient ses idées fondamentales sur la littérature. Le mouvement pour la démocratie de 1989 : il a profondément bouleversé les conceptions politiques et philosophiques de Liu Xiaobo. Nous présentons ses réflexions sur ce mouvement, notamment sur le rôle des simples citoyens dans la politique. Cette expérience l’a conduit à entreprendre une réflexion critique sur les formes de la résistance au totalitarisme. Vivre dans la vérité et la « philosophie du porc » : c’est surtout pour ses réflexions sur la nature du régime post totalitaire que Liu s’est fait connaître depuis 2000. Nous présentons ses articles sur l’idéologie du régime, sa description de la schizophrénie qui s’empare des cadres du régime autant que des intellectuels, et sa critique de ce qu’il qualifie de « philosophie du porc », cette vision du monde qui a conduit les intellectuels à se laisser « acheter » par le parti communiste. La société civile : si Liu Xiaobo est très critique de l’attitude des intellectuels, il ne perd cependant pas espoir car il estime que la société chinoise a montré sa capacité de résistance au post totalitarisme. Même si elle ne correspond pas aux critères définis par les politologues, une forme de société civile est apparue en Chine qui, par sa pression informelle, a conduit le pouvoir à accorder un certain nombre de droits aux citoyens. La Charte 08 et les 6 articles qui ont conduit Liu à la prison, ainsi que sa plaidoirie devant le tribunal.","Xiaobo Liu"
"9782505085256","Asadora ! - Tome 2",,,,"Asadora ! - Tome 2","2022-08-13 21:05:48.31342","2022-08-28 16:24:03.316131","L'intrépide Asa à bord de l'avion du vieux Kasuga, un vétéran de la seconde Guerre mondiale qui se rêve à nouveau chevalier du ciel, parachute des vivres aux victimes du typhon. Asa fait front avec courage se refusant à penser que sa famille a probablement été engloutie avec sa maison. Mais quelle est cette trace, visible depuis le ciel, et qui ressemble à une énorme empreinte...?","Naoki Urasawa"
"9782505007647","Undercurrent",,,,"Undercurrent","2022-08-25 16:28:45.728741","2022-08-25 16:28:45.728741","Présentation de l'éditeur : ""Kanae gère un établissement de bains publics avec son mari Satoru. Tous deux sont aidés dans leur tâche par la tante de Kanae. Lorsque Satoru disparaît mystérieusement, les rumeurs vont bon train : accident, fuite, liaison secrète... Beaucoup jugent la jeune femme, trop autoritaire, trop indépendante. Dans l'impossibilité de continuer à assumer la gestion de l'établissement sans son mari, Kanae accueille un jeune homme, M. Hori, envoyé par le syndicat des bains publics pour l'aider. Voici présenté dans un manga au graphisme clair, le quotidien d'un établissement de bains publics lieu de rencontres et de séparations où le tragique croise le comique, où les sentiments de plénitude se mélangent aux regrets profonds"".","Tetsuya Toyoda"
"9782505017530","Empreintes",,,,"Empreintes","2022-08-25 16:39:04.583811","2022-08-25 16:39:04.583811","Li Kunwu est un des rares artistes chinois de sa génération à s'être, tout au long de sa carrière, exclusivement dédié au 9e art et à en vivre. En 30 ans d'activité, plus d'une trentaine de ses ouvrages ont été édités en Chine, et il a été publié dans les magazines de BD chinois les plus emblématiques tels que Lianhua Huabao, Humo Dashi, etc. D'abord spécialisé dans la BD de propagande, il s'est ensuite orienté vers l'étude des minorités culturelles chinoises dont sa province, le Yunnan, est si riche. Il est membre du parti communiste chinois et administrateur de l'Association des artistes du Yunnan et de l'Institut chinois d'étude du dessin de presse.","Kunwu Li"
"9782505002147","Solanin",,,1,"Solanin","2022-07-11 21:20:01.38257","2022-08-25 16:48:19.463442","La 4ème de couverture indique : «Une petite mélodie un peu folle qui raconte notre jeunesse, imperceptible et ténébreuse.» «Une petite histoire d'amour, drôle et triste, entre Taneda et Meiko, qui n'en sont qu'à leur deuxième année dans le monde du travail.» «Une oeuvre qui a suscité émotion et compassion chez les lecteurs, de tout âge et des deux sexes, une oeuvre qui fait parler d'elle!!»","Inio Asano"
"9782302092761","Pour que respire le désert",,,,"Les futurs de Liu Cixin - Tome 02 : Pour que respire le désert","2022-08-25 16:58:27.151703","2023-02-11 18:25:40.457186","La passion de Yuanyuan pour les bulles de savon irritait son père depuis toujours. Lui qui avait voué sa vie à la protection de la Cité de la Route de la Soie contre une désertification galopante, ne pouvait admettre son goût pour la légèreté. Oublierait-il que nombre de d'avancées scientifiques naissent d'une idée fantaisiste, jaillissent d'esprits originaux et créatifs ?","Cixin Liu, Valérie Mangin"
"9782505007272","Le samouraï bambou",,,1,"Le samouraï bambou","2022-07-11 21:19:54.640406","2022-08-25 16:56:29.067506","Un manga signé Taiyou Matsumoto, le plus digne représentant du manga d'auteur japonais ! Soîchirô, samouraï sans maître, passe ses journées paisiblement, à flâner, à discuter avec les enfants. Jusqu'au jour où des hommes lui cherchent querelle et où il dégaine son sabre et les châtie facilement... Pour s'éviter la tentation de., le dégainer, Soîchirô décide de ne plus porter à sa ceinture qu'un sabre de bambou. Ainsi commence sa nouvelle vie d'homme fort, faiblement armé !","Taiyou Matsumoto, Issei Eifuku"
"9782759225859","De l'œnologie à la viticulture",,,,"De l'œnologie à la viticulture","2022-08-25 16:57:48.247854","2022-08-25 16:57:48.247854","Un livre abondamment illustré donnant un aperçu complet sur la viticulture et le vin : les conditions de culture de la vigne, les composés du vin et sa microbiologie, les techniques œnologiques, le traitement et le conditionnement du vin, la filière de production vitinicole en France, la dégustation du vin et son analyse sensorielle, les autres produits de la vigne consommés. Il fait un zoom sur des produits d’excellence (champagne, cognac), le vin dans la cuisine, les pays producteurs de vin et la consommation de vin dans le monde et en France, les bienfaits du vin sur la santé.","Alain Carbonneau, Jean-Louis Escudier"
"9782413037996","Les trois lois du monde",,,,"Les trois lois du monde","2022-08-25 16:58:32.321696","2022-08-25 16:58:32.321696","Dans cette école rustique d'une province pauvre et reculée, le professeur consacrait son énergie à une dizaine d'enfants avides de découvrir le monde. Sa vie était certes rude, mais seule l'éducation permettrait à ces jeunes de sortir de l'ignorance et de se bâtir une vie meilleure que celle de leurs parents. Son enseignement était même sur le point de changer le destin de toute l'humanité...","Xiaoyu Zhang"
"9782840890034","Contes du Joli Bois - Tome 4 : Les fées en vacances",,,,,"2022-08-28 14:59:59.553827","2023-02-11 18:43:29.365261",,"Tony Wolf"
"9782756031521","Come prima",,,1,,"2022-07-11 21:21:09.230074","2023-02-11 18:43:29.365261","Début des années 60. Suite à la mort de leur père, deux frères, Fabio et Giovanni, sillonnent les routes au volant d'une Fiat 500. Leur voyage, émaillé de disputes et de silences, de souvenirs et de rencontres, les conduira jusqu'à leur Italie natale, quittée depuis des années. Par bribes, le portrait de leur père se recompose et les amène à mettre en lumière leurs relations tumultueuses... [Source : 4e de couv.]","Alfred"
"9782218743429","Nouvelles policières",,,,,"2022-08-28 15:33:12.24135","2022-08-28 15:33:12.24135","Des extraits de textes analysés et un dossier sur le thème du travail.","Arthur Conan Doyle, Léo Malet, Roald Dahl, Didier Daeninckx"
"9782298010930","Ciel de nuit",,,,,"2022-08-28 15:20:03.478157","2022-08-28 16:24:03.316131","Ce guide photographique de poche, remarquablement illustré, nous livre un inventaire vivant et détaillé des principaux objets du ciel: étoiles, planètes et les 88 constellations. Un guide de terrain facile à utiliser, idéal pour tous les amoureux du ciel.  ","Kevin Tildsley"
"9782207136829","Expiration",,,,,"2022-08-28 15:41:16.495164","2022-08-28 16:24:03.316131","Un jeune marchand de Bagdad rongé par le remords entreprend un voyage dans le temps grâce à une incroyable machine. Dans un futur plus ou moins lointain, un chercheur en anatomie décide de disséquer les rouages de son propre cerveau pour en comprendre le fonctionnement. Un mathématicien du XIXe siècle met au point une machine censée éduquer les enfants de manière rationnelle. Mais lorsqu’il confie son propre fils à cette Nurse automatique, les choses ne se passent pas tout à fait comme prévu… À travers ces neuf nouvelles d’une inventivité et d’une intelligence rares, Ted Chiang interroge avec brio notre rapport aux machines, au temps, à la mémoire, et en définitive, ce qui fait notre humanité.","Ted Chiang"
"9782344042441","Blue Giant Supreme - Tome 02",,,,,"2022-07-11 21:45:11.158371","2022-08-28 16:24:03.316131","En Allemagne, à Munich, Dai Miyamoto a joué deux concerts en solo. Tout seul sur scène, sans aucune échappatoire, il a obtenu une réponse du public : sa musique, et ce qu’il est, peuvent toucher au-delà des frontières… Il cherche alors quelqu’un avec qui monter un nouveau groupe et finit par rencontrer la contrebassiste Hannah, aussi petite que son jeu est puissant et intense…","Shinichi Ishizuka"
"9782505014539","Bonne nuit Punpun - Tome 03",,,,,"2022-08-28 12:07:13.522799","2022-08-28 16:24:03.316131","Deux ans ont passé depuis qu'Aiko a rejeté Punpun. Ses amis et lui ont grandi. Le père de Seki est toujours alcoolique, Shimizu est toujours autant dans la lune, et l'oncle Yuichi voit toujours le médium. Alors que Shimizu et Seki resserrent leurs liens, Punpun, lui, voit Aiko lui échapper de plus en plus...","Inio Asano"
